Attribute,Type,Operators,Description
em_vitrification.instrument,string,in exact_match contains_phrase contains_words exists,"The type of instrument used in the vitrification process. Allowed Values: CRYOSOL VITROJET, EMS-002 RAPID IMMERSION FREEZER, FEI VITROBOT MARK I, FEI VITROBOT MARK II, FEI VITROBOT MARK III, FEI VITROBOT MARK IV, GATAN CRYOPLUNGE 3, HOMEMADE PLUNGER, LEICA EM CPC, LEICA EM GP, LEICA KF80, LEICA PLUNGER, REICHERT-JUNG PLUNGER, SPOTITON, ZEISS PLUNGE FREEZER CRYOBOX"
em_vitrification.method,string,contains_phrase contains_words exists,The procedure for vitrification.
em_vitrification.temp,number,equals greater less greater_or_equal less_or_equal range exists,"The vitrification temperature (in kelvin), e.g.,  temperature of the plunge instrument cryogen bath."
exptl.crystals_number,integer,equals greater less greater_or_equal less_or_equal range exists,The total number of crystals used in the measurement of  intensities.
exptl.details,string,contains_phrase contains_words exists,Any special information about the experimental work prior to the  intensity measurement. See also _exptl_crystal.preparation.
exptl.method,string,in exact_match exists,"The method used in the experiment. Allowed Values: ELECTRON CRYSTALLOGRAPHY, ELECTRON MICROSCOPY, EPR, FIBER DIFFRACTION, FLUORESCENCE TRANSFER, INFRARED SPECTROSCOPY, NEUTRON DIFFRACTION, POWDER DIFFRACTION, SOLID-STATE NMR, SOLUTION NMR, SOLUTION SCATTERING, THEORETICAL MODEL, X-RAY DIFFRACTION"
exptl_crystal.density_Matthews,number,equals greater less greater_or_equal less_or_equal range exists,"The density of the crystal, expressed as the ratio of the  volume of the asymmetric unit to the molecular mass of a  monomer of the structure, in units of angstroms^3^ per dalton.  Ref: Matthews, B. W. (1968). J. Mol. Biol. 33, 491-497."
exptl_crystal.density_meas,number,equals greater less greater_or_equal less_or_equal range exists,Density values measured using standard chemical and physical  methods. The units are megagrams per cubic metre (grams per  cubic centimetre).
exptl_crystal.density_percent_sol,number,equals greater less greater_or_equal less_or_equal range exists,"Density value P calculated from the crystal cell and contents,  expressed as per cent solvent.  P = 1 - (1.23 N MMass) / V  N = the number of molecules in the unit cell  MMass = the molecular mass of each molecule (gm/mole)  V = the volume of the unit cell (A^3^)  1.23 = a conversion factor evaluated as:  (0.74 cm^3^/g) (10^24^ A^3^/cm^3^)  --------------------------------------  (6.02*10^23^) molecules/mole  where 0.74 is an assumed value for the partial specific  volume of the molecule"
exptl_crystal.pdbx_mosaicity,number,equals greater less greater_or_equal less_or_equal range exists,"Isotropic approximation of the distribution of mis-orientation angles specified in degrees of all the mosaic domain blocks in the crystal, represented as a standard deviation. Here, a mosaic block is a set of contiguous unit cells assumed to be perfectly aligned. Lower mosaicity indicates better ordered crystals. See for example: Nave, C. (1998). Acta Cryst. D54, 848-853. Note that many software packages estimate the mosaic rotation distribution differently and may combine several physical properties of the experiment into a single mosaic term. This term will help fit the modeled spots to the observed spots without necessarily being directly related to the physics of the crystal itself."
exptl_crystal.pdbx_mosaicity_esd,number,equals greater less greater_or_equal less_or_equal range exists,The uncertainty in the mosaicity estimate for the crystal.
exptl_crystal_grow.method,string,contains_phrase contains_words exists,The method used to grow the crystals.
exptl_crystal_grow.pH,number,equals greater less greater_or_equal less_or_equal range exists,"The pH at which the crystal was grown. If more than one pH was  employed during the crystallization process, the final pH should  be noted here and the protocol involving multiple pH values  should be described in _exptl_crystal_grow.details."
exptl_crystal_grow.pdbx_details,string,contains_phrase contains_words exists,Text description of crystal growth procedure.
exptl_crystal_grow.temp,number,equals greater less greater_or_equal less_or_equal range exists,"The temperature in kelvins at which the crystal was grown.  If more than one temperature was employed during the  crystallization process, the final temperature should be noted  here and the protocol involving multiple temperatures should be  described in _exptl_crystal_grow.details."
pdbx_SG_project.full_name_of_center,string,in exact_match exists,"The value identifies the full name of center. Allowed Values: Accelerated Technologies Center for Gene to 3D Structure, Assembly, Dynamics and Evolution of Cell-Cell and Cell-Matrix Adhesions, Atoms-to-Animals: The Immune Function Network, Bacterial targets at IGS-CNRS, France, Berkeley Structural Genomics Center, Center for Eukaryotic Structural Genomics, Center for High-Throughput Structural Biology, Center for Membrane Proteins of Infectious Diseases, Center for Structural Biology of Infectious Diseases, Center for Structural Genomics of Infectious Diseases, Center for Structures of Membrane Proteins, Center for the X-ray Structure Determination of Human Transporters, Chaperone-Enabled Studies of Epigenetic Regulation Enzymes, Enzyme Discovery for Natural Product Biosynthesis, GPCR Network, Integrated Center for Structure and Function Innovation, Israel Structural Proteomics Center, Joint Center for Structural Genomics, Marseilles Structural Genomics Program @ AFMB, Medical Structural Genomics of Pathogenic Protozoa, Membrane Protein Structural Biology Consortium, Membrane Protein Structures by Solution NMR, Midwest Center for Macromolecular Research, Midwest Center for Structural Genomics, Mitochondrial Protein Partnership, Montreal-Kingston Bacterial Structural Genomics Initiative, Mycobacterium Tuberculosis Structural Proteomics Project, New York Consortium on Membrane Protein Structure, New York SGX Research Center for Structural Genomics, New York Structural GenomiX Research Consortium, New York Structural Genomics Research Consortium, Northeast Structural Genomics Consortium, Nucleocytoplasmic Transport: a Target for Cellular Control, Ontario Centre for Structural Proteomics, Oxford Protein Production Facility, Paris-Sud Yeast Structural Genomics, Partnership for Nuclear Receptor Signaling Code Biology, Partnership for Stem Cell Biology, Partnership for T-Cell Biology, Program for the Characterization of Secreted Effector Proteins, Protein Structure Factory, RIKEN Structural Genomics/Proteomics Initiative, Scottish Structural Proteomics Facility, Seattle Structural Genomics Center for Infectious Disease, South Africa Structural Targets Annotation Database, Southeast Collaboratory for Structural Genomics, Structural Genomics Consortium, Structural Genomics Consortium for Research on Gene Expression, Structural Genomics of Pathogenic Protozoa Consortium, Structural Proteomics in Europe, Structural Proteomics in Europe 2, Structure 2 Function Project, Structure, Dynamics and Activation Mechanisms of Chemokine Receptors, Structure-Function Analysis of Polymorphic CDI Toxin-Immunity Protein Complexes, Structure-Function Studies of Tight Junction Membrane Proteins, Structures of Mtb Proteins Conferring Susceptibility to Known Mtb Inhibitors, TB Structural Genomics Consortium, Transcontinental EM Initiative for Membrane Protein Structure, Transmembrane Protein Center"
pdbx_SG_project.initial_of_center,string,in exact_match exists,"The value identifies the full name of center. Allowed Values: ATCG3D, BIGS, BSGC, BSGI, CEBS, CELLMAT, CESG, CHSAM, CHTSB, CSBID, CSGID, CSMP, GPCR, IFN, ISFI, ISPC, JCSG, MCMR, MCSG, MPID, MPP, MPSBC, MPSbyNMR, MSGP, MSGPP, MTBI, NESG, NHRs, NPCXstals, NYCOMPS, NYSGRC, NYSGXRC, NatPro, OCSP, OPPF, PCSEP, PSF, RSGI, S2F, SASTAD, SECSG, SGC, SGCGES, SGPP, SPINE, SPINE-2, SSGCID, SSPF, STEMCELL, TBSGC, TCELL, TEMIMPS, TJMP, TMPC, TransportPDB, UC4CDI, XMTB, YSG"
pdbx_SG_project.project_name,string,in exact_match exists,"The value identifies the Structural Genomics project. Allowed Values: Enzyme Function Initiative, NIAID, National Institute of Allergy and Infectious Diseases, NPPSFA, National Project on Protein Structural and Functional Analyses, PSI, Protein Structure Initiative, PSI:Biology"
pdbx_audit_support.country,string,in exact_match exists,The country/region providing the funding support for the entry.  Funding information is optionally provided for entries after June 2016.
pdbx_audit_support.funding_organization,string,in exact_match contains_phrase contains_words exists,The name of the organization providing funding support for the  entry. Funding information is optionally provided for entries  after June 2016.
pdbx_audit_support.grant_number,string,in exact_match exists,The grant number associated with this source of support.
pdbx_database_PDB_obs_spr.replace_pdb_id,string,in exact_match exists,The PDB identifier for the replaced (OLD) entry/entries.
pdbx_database_related.content_type,string,in exact_match exists,"The identifying content type of the related entry. Allowed Values: associated EM volume, associated NMR restraints, associated SAS data, associated structure factors, complete structure, consensus EM volume, derivative structure, ensemble, focused EM volume, minimized average structure, native structure, other, other EM volume, protein target sequence and/or protocol data, re-refinement, representative structure, split, unspecified"
pdbx_database_related.db_id,string,in exact_match exists,The identifying code in the related database.
pdbx_database_related.db_name,string,in exact_match exists,"The name of the database containing the related entry. Allowed Values: BIOISIS, BMCD, BMRB, EMDB, NDB, PDB, PDB-Dev, SASBDB, TargetDB, TargetTrack"
pdbx_database_status.pdb_format_compatible,string,in exact_match exists,"A flag indicating that the entry is compatible with the PDB format.  A value of 'N' indicates that the no PDB format data file is  corresponding to this entry is available in the PDB archive. Allowed Values: N, Y"
pdbx_deposit_group.group_description,string,contains_phrase contains_words exists,A description of the contents of entries in the collection.
pdbx_deposit_group.group_id,string,in exact_match exists,A unique identifier for a group of entries deposited as a collection.
pdbx_deposit_group.group_title,string,contains_phrase contains_words exists,A title to describe the group of entries deposited in the collection.
pdbx_deposit_group.group_type,string,in exact_match exists,"Text to describe a grouping of entries in multiple collections Allowed Values: changed state, ground state, undefined"
pdbx_initial_refinement_model.accession_code,string,in exact_match exists,This item identifies an accession code of the resource where the initial model  is used
pdbx_initial_refinement_model.source_name,string,in exact_match exists,"This item identifies the resource of initial model used for refinement Allowed Values: AlphaFold, ITasser, InsightII, ModelArchive, Modeller, Other, PDB, PDB-Dev, PHYRE, Robetta, RoseTTAFold, SwissModel"
pdbx_initial_refinement_model.type,string,in exact_match exists,"This item describes the type of the initial model was generated Allowed Values: experimental model, in silico model, integrative model, other"
pdbx_molecule_features.class,string,in exact_match contains_phrase contains_words exists,"Broadly defines the function of the molecule. Allowed Values: Antagonist, Anthelmintic, Antibiotic, Antibiotic, Anthelmintic, Antibiotic, Antimicrobial, Antibiotic, Antineoplastic, Anticancer, Anticoagulant, Anticoagulant, Antithrombotic, Antifungal, Antigen, Antiinflammatory, Antimicrobial, Antimicrobial, Antiparasitic, Antibiotic, Antimicrobial, Antiretroviral, Antimicrobial, Antitumor, Antineoplastic, Antiparasitic, Antiretroviral, Antithrombotic, Antitumor, Antiviral, CASPASE inhibitor, Chaperone binding, Drug delivery, Enzyme inhibitor, Glycan component, Growth factor, Immunosuppressant, Inducer, Inhibitor, Lantibiotic, Metabolism, Metal transport, Nutrient, Oxidation-reduction, Protein binding, Receptor, Substrate analog, Synthetic opioid, Thrombin inhibitor, Thrombin inhibitor, Trypsin inhibitor, Toxin, Transition state mimetic, Transport activator, Trypsin inhibitor, Unknown, Water retention"
pdbx_molecule_features.details,string,contains_phrase contains_words exists,Additional details describing the molecule.
pdbx_molecule_features.name,string,contains_phrase contains_words exists,A name of the molecule.
pdbx_molecule_features.prd_id,string,in exact_match exists,The value of _pdbx_molecule_features.prd_id is the accession code for this  reference molecule.
pdbx_nmr_details.text,string,contains_phrase contains_words exists,Additional details describing the NMR experiment.
pdbx_nmr_refine.details,string,contains_phrase contains_words exists,Additional details about the NMR refinement.
pdbx_nmr_refine.method,string,contains_phrase contains_words exists,The method used to determine the structure.
pdbx_nmr_sample_details.contents,string,contains_phrase contains_words exists,"A complete description of each NMR sample. Include the concentration and concentration units for each component (include buffers, etc.). For each component describe the isotopic composition, including the % labeling level, if known. For example: 1. Uniform (random) labeling with 15N: U-15N 2. Uniform (random) labeling with 13C, 15N at known labeling  levels: U-95% 13C;U-98% 15N 3. Residue selective labeling: U-95% 15N-Thymine 4. Site specific labeling: 95% 13C-Ala18, 5. Natural abundance labeling in an otherwise uniformly labeled  biomolecule is designated by NA: U-13C; NA-K,H"
pdbx_nmr_sample_details.details,string,contains_phrase contains_words exists,Brief description of the sample providing additional information not captured by other items in the category.
pdbx_nmr_sample_details.label,string,contains_phrase contains_words exists,A value that uniquely identifies this sample from the other samples listed in the entry.
pdbx_nmr_software.name,string,contains_phrase contains_words exists,The name of the software used for the task.
pdbx_nmr_spectrometer.field_strength,number,equals greater less greater_or_equal less_or_equal range exists,The field strength in MHz of the spectrometer
pdbx_nmr_spectrometer.manufacturer,string,contains_phrase contains_words exists,The name of the manufacturer of the spectrometer.
pdbx_nmr_spectrometer.model,string,contains_phrase contains_words exists,The model of the NMR spectrometer.
pdbx_reflns_twin.type,string,in exact_match exists,"There are two types of twinning: merohedral or hemihedral  non-merohedral or epitaxial For merohedral twinning the diffraction patterns from the different domains are completely superimposable. Hemihedral twinning is a special case of merohedral twinning. It only involves two distinct domains. Pseudo-merohedral twinning is a subclass merohedral twinning in which lattice is coincidentally superimposable. In the case of non-merohedral or epitaxial twinning the reciprocal lattices do not superimpose exactly. In this case the diffraction pattern consists of two (or more) interpenetrating lattices, which can in principle be separated. Allowed Values: epitaxial, hemihedral, merohedral, non-merohedral, pseudo-merohedral, tetartohedral"
pdbx_serial_crystallography_measurement.collimation,string,contains_phrase contains_words exists,The collimation or type of focusing optics applied to the radiation.
pdbx_serial_crystallography_sample_delivery.description,string,contains_phrase contains_words exists,The description of the mechanism by which the specimen in placed in the path  of the source.
pdbx_serial_crystallography_sample_delivery.method,string,contains_phrase contains_words exists,"The description of the mechanism by which the specimen in placed in the path  of the source. Allowed Values: fixed target, injection"
pdbx_serial_crystallography_sample_delivery_fixed_target.description,string,contains_phrase contains_words exists,"For a fixed target sample, a description of sample preparation"
pdbx_serial_crystallography_sample_delivery_fixed_target.details,string,contains_phrase contains_words exists,Any details pertinent to the fixed sample target
pdbx_serial_crystallography_sample_delivery_injection.description,string,contains_phrase contains_words exists,"For continuous sample flow experiments, a description of the injector used  to move the sample into the beam."
pdbx_serial_crystallography_sample_delivery_injection.injector_nozzle,string,contains_phrase contains_words exists,The type of nozzle to deliver and focus sample jet
pdbx_serial_crystallography_sample_delivery_injection.preparation,string,contains_phrase contains_words exists,Details of crystal growth and preparation of the crystals
pdbx_soln_scatter.data_analysis_software_list,string,contains_phrase contains_words exists,A list of the software used in the data analysis
pdbx_soln_scatter.data_reduction_software_list,string,contains_phrase contains_words exists,A list of the software used in the data reduction
pdbx_soln_scatter.detector_specific,string,contains_phrase contains_words exists,"The particular radiation detector. In general this will be a  manufacturer, description, model number or some combination of  these."
pdbx_soln_scatter.detector_type,string,contains_phrase contains_words exists,The general class of the radiation detector.
pdbx_soln_scatter.source_beamline,string,contains_phrase contains_words exists,The beamline name used for the experiment
pdbx_soln_scatter.source_beamline_instrument,string,contains_phrase contains_words exists,The instrumentation used on the beamline
pdbx_soln_scatter.source_class,string,contains_phrase contains_words exists,The general class of the radiation source.
pdbx_soln_scatter.source_type,string,contains_phrase contains_words exists,"The make, model, name or beamline of the source of radiation."
pdbx_soln_scatter_model.conformer_selection_criteria,string,contains_phrase contains_words exists,A description of the conformer selection criteria  used.
pdbx_soln_scatter_model.details,string,contains_phrase contains_words exists,A description of any additional details concerning the experiment.
pdbx_soln_scatter_model.method,string,contains_phrase contains_words exists,A description of the methods used in the modelling
pdbx_soln_scatter_model.software_list,string,contains_phrase contains_words exists,A list of the software used in the modeeling
rcsb_accession_info.deposit_date,date,equals greater less greater_or_equal less_or_equal range exists,The entry deposition date.
rcsb_accession_info.has_released_experimental_data,string,in exact_match exists,"A code indicating the current availibility of experimental data in the repository. Allowed Values: N, Y"
rcsb_accession_info.initial_release_date,date,equals greater less greater_or_equal less_or_equal range exists,The entry initial release date.
rcsb_accession_info.revision_date,date,equals greater less greater_or_equal less_or_equal range exists,The latest entry revision date.
rcsb_comp_model_provenance.entry_id,string,in exact_match exists,Entry identifier corresponding to the computed structure model.
rcsb_comp_model_provenance.source_db,string,in exact_match exists,"Source database for the computed structure model. Allowed Values: AlphaFoldDB, ModelArchive"
rcsb_entry_container_identifiers.emdb_ids,string,in exact_match exists,List of EMDB identifiers for the 3D electron microscopy density maps  used in the production of the structure model.
rcsb_entry_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_entry_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entry container.
rcsb_entry_container_identifiers.related_emdb_ids,string,in exact_match exists,List of EMDB identifiers for the 3D electron microscopy density maps  related to the structure model.
rcsb_entry_info.assembly_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of assemblies defined for this entry including the deposited assembly.
rcsb_entry_info.branched_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct branched entities in the structure entry.
rcsb_entry_info.cis_peptide_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of cis-peptide linkages per deposited structure model.
rcsb_entry_info.deposited_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of heavy atom coordinates records per deposited structure model.
rcsb_entry_info.deposited_deuterated_water_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of deuterated water molecules per deposited structure model.
rcsb_entry_info.deposited_hydrogen_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of hydrogen atom coordinates records per deposited structure model.
rcsb_entry_info.deposited_model_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of model structures deposited.
rcsb_entry_info.deposited_modeled_polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of modeled polymer monomers in the deposited coordinate data.  This is the total count of monomers with reported coordinate data for all polymer  entity instances in the deposited coordinate data.
rcsb_entry_info.deposited_nonpolymer_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of non-polymer instances in the deposited data set.  This is the total count of non-polymer entity instances reported  per deposited structure model.
rcsb_entry_info.deposited_polymer_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of polymer instances in the deposited data set.  This is the total count of polymer entity instances reported  per deposited structure model.
rcsb_entry_info.deposited_polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of polymer monomers in sample entity instances in the deposited data set.  This is the total count of monomers for all polymer entity instances reported  per deposited structure model.
rcsb_entry_info.deposited_solvent_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of heavy solvent atom coordinates records per deposited structure model.
rcsb_entry_info.deposited_unmodeled_polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of unmodeled polymer monomers in the deposited coordinate data. This is  the total count of monomers with unreported coordinate data for all polymer  entity instances per deposited structure model.
rcsb_entry_info.diffrn_radiation_wavelength_maximum,number,equals greater less greater_or_equal less_or_equal range exists,The maximum radiation wavelength in angstroms.
rcsb_entry_info.diffrn_radiation_wavelength_minimum,number,equals greater less greater_or_equal less_or_equal range exists,The minimum radiation wavelength in angstroms.
rcsb_entry_info.disulfide_bond_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of disulfide bonds per deposited structure model.
rcsb_entry_info.entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,"The number of distinct polymer, non-polymer, branched molecular, and solvent entities per deposited structure model."
rcsb_entry_info.experimental_method,string,in exact_match exists,"The category of experimental method(s) used to determine the structure entry. Allowed Values: EM, Multiple methods, NMR, Neutron, Other, X-ray"
rcsb_entry_info.experimental_method_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of experimental methods contributing data to the structure determination.
rcsb_entry_info.inter_mol_covalent_bond_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of intermolecular covalent bonds.
rcsb_entry_info.inter_mol_metalic_bond_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of intermolecular metalic bonds.
rcsb_entry_info.molecular_weight,number,equals greater less greater_or_equal less_or_equal range exists,The molecular mass (KDa) of polymer and non-polymer entities (exclusive of solvent) in the deposited structure entry.
rcsb_entry_info.na_polymer_entity_types,string,in exact_match exists,"Nucleic acid polymer entity type categories describing the entry. Allowed Values: DNA (only), DNA/RNA (only), NA-hybrid (only), Other, RNA (only)"
rcsb_entry_info.nonpolymer_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct non-polymer entities in the structure entry exclusive of solvent.
rcsb_entry_info.nonpolymer_molecular_weight_maximum,number,equals greater less greater_or_equal less_or_equal range exists,The maximum molecular mass (KDa) of a non-polymer entity in the deposited structure entry.
rcsb_entry_info.nonpolymer_molecular_weight_minimum,number,equals greater less greater_or_equal less_or_equal range exists,The minimum molecular mass (KDa) of a non-polymer entity in the deposited structure entry.
rcsb_entry_info.polymer_composition,string,in exact_match exists,"Categories describing the polymer entity composition for the entry. Allowed Values: DNA, DNA/RNA, NA-hybrid, NA/oligosaccharide, RNA, heteromeric protein, homomeric protein, oligosaccharide, other, other type composition, other type pair, protein/NA, protein/NA/oligosaccharide, protein/oligosaccharide"
rcsb_entry_info.polymer_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct polymer entities in the structure entry.
rcsb_entry_info.polymer_entity_count_DNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct DNA polymer entities.
rcsb_entry_info.polymer_entity_count_RNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct RNA polymer entities.
rcsb_entry_info.polymer_entity_count_nucleic_acid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct nucleic acid polymer entities (DNA or RNA).
rcsb_entry_info.polymer_entity_count_nucleic_acid_hybrid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct hybrid nucleic acid polymer entities.
rcsb_entry_info.polymer_entity_count_protein,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct protein polymer entities.
rcsb_entry_info.polymer_entity_taxonomy_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct taxonomies represented among the polymer entities in the entry.
rcsb_entry_info.polymer_molecular_weight_maximum,number,equals greater less greater_or_equal less_or_equal range exists,The maximum molecular mass (KDa) of a polymer entity in the deposited structure entry.
rcsb_entry_info.polymer_molecular_weight_minimum,number,equals greater less greater_or_equal less_or_equal range exists,The minimum molecular mass (KDa) of a polymer entity in the deposited structure entry.
rcsb_entry_info.polymer_monomer_count_maximum,integer,equals greater less greater_or_equal less_or_equal range exists,The maximum monomer count of a polymer entity per deposited structure model.
rcsb_entry_info.polymer_monomer_count_minimum,integer,equals greater less greater_or_equal less_or_equal range exists,The minimum monomer count of a polymer entity per deposited structure model.
rcsb_entry_info.resolution_combined,number,equals greater less greater_or_equal less_or_equal range exists,"Combined estimates of experimental resolution contributing to the refined structural model.  Resolution reported in ""refine.ls_d_res_high"" is used for X-RAY DIFFRACTION, FIBER DIFFRACTION, POWDER DIFFRACTION, ELECTRON CRYSTALLOGRAPHY, and NEUTRON DIFFRACTION as identified in  ""refine.pdbx_refine_id"". Resolution reported in ""em_3d_reconstruction.resolution"" is used for ELECTRON MICROSCOPY. The best value corresponding to ""em_3d_reconstruction.resolution_method"" == ""FSC 0.143 CUT-OFF"" is used, if available. If not, the best ""em_3d_reconstruction.resolution"" value is used. For structures that are not obtained from diffraction-based methods, the resolution values in ""refine.ls_d_res_high"" are ignored.  Multiple values are reported only if multiple methods are used in the structure determination."
rcsb_entry_info.selected_polymer_entity_types,string,in exact_match exists,"Selected polymer entity type categories describing the entry. Allowed Values: Nucleic acid (only), Oligosaccharide (only), Other, Protein (only), Protein/NA, Protein/Oligosaccharide"
rcsb_entry_info.software_programs_combined,string,in exact_match exists,Combined list of software programs names reported in connection with the production of this entry.
rcsb_entry_info.solvent_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct solvent entities per deposited structure model.
rcsb_entry_info.structure_determination_methodology,string,in exact_match exists,"Indicates if the structure was determined using experimental or computational methods. Allowed Values: computational, experimental"
rcsb_entry_info.structure_determination_methodology_priority,integer,equals greater less greater_or_equal less_or_equal range exists,"Indicates the priority of the value in _rcsb_entry_info.structure_determination_methodology.  The lower the number the higher the priority.  Priority values for ""experimental"" structures is currently set to 10 and  the values for ""computational"" structures is set to 100."
rcsb_entry_info.diffrn_resolution_high.value,number,equals greater less greater_or_equal less_or_equal range exists,The high resolution limit of data collection.
rcsb_ma_qa_metric_global.ma_qa_metric_global.type,string,in exact_match exists,"The type of global QA metric. Allowed Values: PAE, contact probability, distance, energy, ipTM, normalized score, other, pLDDT, pLDDT all-atom, pLDDT all-atom in [0,1], pLDDT in [0,1], pTM, zscore"
rcsb_ma_qa_metric_global.ma_qa_metric_global.value,number,equals greater less greater_or_equal less_or_equal range exists,Value of the global QA metric.
rcsb_primary_citation.book_title,string,contains_phrase contains_words exists,The title of the book in which the citation appeared; relevant  for books or book chapters.
rcsb_primary_citation.id,string,in exact_match exists,The value of _rcsb_primary_citation.id must uniquely identify a record in the  CITATION list.  The _rcsb_primary_citation.id 'primary' should be used to indicate the  citation that the author(s) consider to be the most pertinent to  the contents of the data block.  Note that this item need not be a number; it can be any unique  identifier.
rcsb_primary_citation.journal_abbrev,string,in exact_match exists,Abbreviated name of the cited journal as given in the  Chemical Abstracts Service Source Index.
rcsb_primary_citation.journal_id_ASTM,string,in exact_match exists,The American Society for Testing and Materials (ASTM) code  assigned to the journal cited (also referred to as the CODEN  designator of the Chemical Abstracts Service); relevant for  journal articles.
rcsb_primary_citation.journal_id_ISSN,string,in exact_match exists,The International Standard Serial Number (ISSN) code assigned to  the journal cited; relevant for journal articles.
rcsb_primary_citation.pdbx_database_id_DOI,string,in exact_match exists,Document Object Identifier used by doi.org to uniquely  specify bibliographic entry.
rcsb_primary_citation.rcsb_ORCID_identifiers,string,in exact_match exists,The Open Researcher and Contributor ID (ORCID) identifiers for the citation authors.
rcsb_primary_citation.rcsb_authors,string,in exact_match contains_phrase contains_words exists,"Names of the authors of the citation; relevant for journal  articles, books and book chapters. Names are separated by vertical bars.  The family name(s), followed by a comma and including any  dynastic components, precedes the first name(s) or initial(s)."
rcsb_primary_citation.rcsb_journal_abbrev,string,in exact_match exists,Normalized journal abbreviation.
rcsb_primary_citation.title,string,contains_phrase contains_words exists,"The title of the citation; relevant for journal articles, books  and book chapters."
rcsb_primary_citation.year,integer,equals greater less greater_or_equal less_or_equal range exists,"The year of the citation; relevant for journal articles, books  and book chapters."
refine.B_iso_mean,number,equals greater less greater_or_equal less_or_equal range exists,The mean isotropic displacement parameter (B value)  for the coordinate set.
refine.details,string,contains_phrase contains_words exists,Description of special aspects of the refinement process.
refine.ls_R_factor_R_free,number,equals greater less greater_or_equal less_or_equal range exists,"Residual factor R for reflections that satisfy the resolution  limits established by _refine.ls_d_res_high and  _refine.ls_d_res_low and the observation limit established by  _reflns.observed_criterion, and that were used as the test  reflections (i.e. were excluded from the refinement) when the  refinement included the calculation of a 'free' R factor.  Details of how reflections were assigned to the working and  test sets are given in _reflns.R_free_details.  sum|F~obs~ - F~calc~|  R = ---------------------  sum|F~obs~|  F~obs~ = the observed structure-factor amplitudes  F~calc~ = the calculated structure-factor amplitudes  sum is taken over the specified reflections"
refine.ls_R_factor_R_work,number,equals greater less greater_or_equal less_or_equal range exists,"Residual factor R for reflections that satisfy the resolution  limits established by _refine.ls_d_res_high and  _refine.ls_d_res_low and the observation limit established by  _reflns.observed_criterion, and that were used as the working  reflections (i.e. were included in the refinement) when the  refinement included the calculation of a 'free' R factor.  Details of how reflections were assigned to the working and  test sets are given in _reflns.R_free_details.  _refine.ls_R_factor_obs should not be confused with  _refine.ls_R_factor_R_work; the former reports the results of a  refinement in which all observed reflections were used, the  latter a refinement in which a subset of the observed  reflections were excluded from refinement for the calculation  of a 'free' R factor. However, it would be meaningful to quote  both values if a 'free' R factor were calculated for most of  the refinement, but all of the observed reflections were used  in the final rounds of refinement; such a protocol should be  explained in _refine.details.  sum|F~obs~ - F~calc~|  R = ---------------------  sum|F~obs~|  F~obs~ = the observed structure-factor amplitudes  F~calc~ = the calculated structure-factor amplitudes  sum is taken over the specified reflections"
refine.ls_R_factor_all,number,equals greater less greater_or_equal less_or_equal range exists,Residual factor R for all reflections that satisfy the resolution  limits established by _refine.ls_d_res_high and  _refine.ls_d_res_low.  sum|F~obs~ - F~calc~|  R = ---------------------  sum|F~obs~|  F~obs~ = the observed structure-factor amplitudes  F~calc~ = the calculated structure-factor amplitudes  sum is taken over the specified reflections
